<789, NA>
<847, NA>
<691, NA>
<116, NA>
<865, NA>
<38, NA>
<122, NA>
<459, NA>
<26, NA>
<306, NA>
<702, NA>
<574, NA>
<244, NA>
<956, NA>
<562, NA>
<688, NA>
<217, NA>
<164, NA>
<209, NA>
<986, NA>
<420, NA>
<790, NA>
<601, NA>
<892, NA>
<280, NA>
<571, NA>
<695, NA>
<249, NA>
<833, NA>
<636, NA>
<146, NA>
<24, NA>
<12, NA>
<633, NA>
<358, NA>
<98, NA>
<913, NA>
<229, NA>
<575, NA>
<59, NA>
<171, NA>
<295, NA>
<195, NA>
<240, NA>
<917, NA>
<54, NA>
<216, NA>
<798, NA>
<337, NA>
<556, NA>
<862, NA>
<617, NA>
<251, NA>
<611, NA>
<387, NA>
<396, NA>
<103, NA>
<787, NA>
<109, NA>
<10, NA>
<253, NA>
<585, NA>
<596, NA>
<999, NA>
<919, NA>
<708, NA>
<265, NA>
<727, NA>
<565, NA>
<170, NA>
<819, NA>
<534, NA>
<602, NA>
<150, NA>
<391, NA>
<486, NA>
<204, NA>
<308, NA>
<16, NA>
<322, NA>
<350, NA>
<269, NA>
<94, NA>
<651, NA>
<383, NA>
<153, NA>
<914, NA>
<485, NA>
<604, NA>
<923, NA>
<487, NA>
<893, NA>
<671, NA>
<75, NA>
<838, NA>
<912, NA>
<827, NA>
<17, NA>
<336, NA>
<954, NA>
<876, NA>
<761, NA>
<102, NA>
<733, NA>
<882, NA>
<647, NA>
<800, NA>
<113, NA>
<404, NA>
<395, NA>
<437, NA>
<331, NA>
<584, NA>
<342, NA>
<715, NA>
<867, NA>
<620, NA>
<374, NA>
<757, NA>
<503, NA>
<58, NA>
<367, NA>
<679, NA>
<152, NA>
<637, NA>
<453, NA>
<704, NA>
<127, NA>
<469, NA>
<278, NA>
<872, NA>
<736, NA>
<297, NA>
<215, NA>
<508, NA>
<495, NA>
<117, NA>
<808, NA>
<687, NA>
<591, NA>
<707, NA>
<218, NA>
<642, NA>
<689, NA>
<791, NA>
<623, NA>
<140, NA>
<189, NA>
<706, NA>
<180, NA>
<818, NA>
<490, NA>
<828, NA>
<583, NA>
<538, NA>
<935, NA>
<880, NA>
<34, NA>
<364, NA>
<461, NA>
<287, NA>
<764, NA>
<915, NA>
<165, NA>
<354, NA>
<89, NA>
<470, NA>
<674, NA>
<312, NA>
<345, NA>
<114, NA>
<976, NA>
<718, NA>
<739, NA>
<93, NA>
<465, NA>
<561, NA>
<863, NA>
<178, NA>
<731, NA>
<296, NA>
<96, NA>
<419, NA>
<14, NA>
<47, NA>
<399, NA>
<815, NA>
<988, NA>
<945, NA>
<76, NA>
<693, NA>
<488, NA>
<373, NA>
<423, NA>
<4, NA>
<91, NA>
<467, NA>
<799, NA>
<900, NA>
<936, NA>
<864, NA>
<147, NA>
<511, NA>
<869, NA>
<125, NA>
<99, NA>
<310, NA>
<750, NA>
<474, NA>
<408, NA>
<134, NA>
<5, NA>
<834, NA>
<803, NA>
<2, NA>
<672, NA>
<631, NA>
<202, NA>
<302, NA>
<62, NA>
<700, NA>
<582, NA>
<33, NA>
<759, NA>
<760, NA>
<349, NA>
<48, NA>
<752, NA>
<781, NA>
<481, NA>
<910, NA>
<770, NA>
<645, NA>
<168, NA>
<330, NA>
<375, NA>
<234, NA>
<149, NA>
<541, NA>
<439, NA>
<384, NA>
<690, NA>
<50, NA>
<154, NA>
<925, NA>
<447, NA>
<832, NA>
<259, NA>
<826, NA>
<566, NA>
<831, NA>
<266, NA>
<844, NA>
<444, NA>
<533, NA>
<115, NA>
<328, NA>
<325, NA>
<746, NA>
<850, NA>
<83, NA>
<110, NA>
<668, NA>
<329, NA>
<314, NA>
<61, NA>
<580, NA>
<411, NA>
<929, NA>
<71, NA>
<519, NA>
<502, NA>
<792, NA>
<271, NA>
<200, NA>
<355, NA>
<410, NA>
<648, NA>
<949, NA>
<65, NA>
<940, NA>
<289, NA>
<649, NA>
<380, NA>
<963, NA>
<853, NA>
<366, NA>
<581, NA>
<783, NA>
<267, NA>
<721, NA>
<111, NA>
<236, NA>
<28, NA>
<351, NA>
<285, NA>
<422, NA>
<49, NA>
<858, NA>
<628, NA>
<148, NA>
<765, NA>
<670, NA>
<595, NA>
<776, NA>
<452, NA>
<961, NA>
<248, NA>
<52, NA>
<504, NA>
<843, NA>
<290, NA>
<53, NA>
<233, NA>
<385, NA>
<662, NA>
<338, NA>
<188, NA>
<985, NA>
<35, NA>
<974, NA>
<69, NA>
<448, NA>
<494, NA>
<135, NA>
<407, NA>
<615, NA>
<63, NA>
<163, NA>
<576, NA>
<201, NA>
<768, NA>
<771, NA>
<281, NA>
<245, NA>
<43, NA>
<489, NA>
<451, NA>
<406, NA>
<414, NA>
<82, NA>
<529, NA>
<885, NA>
<675, NA>
<45, NA>
<946, NA>
<682, NA>
<95, NA>
<703, NA>
<335, NA>
<997, NA>
<324, NA>
<179, NA>
<632, NA>
<685, NA>
<254, NA>
<7, NA>
<714, NA>
<532, NA>
<8, NA>
<440, NA>
<990, NA>
<994, NA>
<817, NA>
<19, NA>
<143, NA>
<81, NA>
<836, NA>
<268, NA>
<573, NA>
<814, NA>
<537, NA>
<852, NA>
<777, NA>
<108, NA>
<916, NA>
<468, NA>
<713, NA>
<555, NA>
<418, NA>
<593, NA>
<507, NA>
<705, NA>
<509, NA>
<20, NA>
<816, NA>
<431, NA>
<775, NA>
<557, NA>
<21, NA>
<560, NA>
<606, NA>
<874, NA>
<138, NA>
<112, NA>
<136, NA>
<971, NA>
<877, NA>
<270, NA>
<738, NA>
<911, NA>
<500, NA>
<612, NA>
<260, NA>
<992, NA>
<942, NA>
<235, NA>
<745, NA>
<605, NA>
<860, NA>
<133, NA>
<717, NA>
<967, NA>
<298, NA>
<203, NA>
<886, NA>
<193, NA>
<277, NA>
<92, NA>
<572, NA>
<79, NA>
<104, NA>
<592, NA>
<796, NA>
<523, NA>
<652, NA>
<856, NA>
<812, NA>
<870, NA>
<989, NA>
<415, NA>
