Top 50 item pairs:


Item Pair	Support Count	Relative Support Count


DAI62779 ELE17451	1592	0.0511880646925
FRO40251 SNA80324	1412	0.0454004694383
DAI75645 FRO40251	1254	0.0403202469374
FRO40251 GRO85051	1213	0.0390019613517
DAI62779 GRO73461	1139	0.0366226166361
DAI75645 SNA80324	1130	0.0363332368734
DAI62779 FRO40251	1070	0.0344040384554
DAI62779 SNA80324	923	0.0296775023311
DAI62779 DAI85309	918	0.0295167357963
ELE32164 GRO59710	911	0.0292916626475
DAI62779 DAI75645	882	0.0283592167454
FRO40251 GRO73461	882	0.0283592167454
DAI62779 ELE92920	877	0.0281984502106
FRO40251 FRO92469	835	0.026848011318
DAI62779 ELE32164	832	0.0267515513971
DAI75645 GRO73461	712	0.0228931545609
DAI43223 ELE32164	711	0.022861001254
DAI62779 GRO30386	709	0.02279669464
ELE17451 FRO40251	697	0.0224108549564
DAI85309 ELE99737	659	0.0211890292917
DAI62779 ELE26917	650	0.020899649529
GRO21487 GRO73461	631	0.0202887366966
DAI62779 SNA45677	604	0.0194205974084
ELE17451 SNA80324	597	0.0191955242597
DAI62779 GRO71621	595	0.0191312176457
DAI62779 SNA55762	593	0.0190669110318
DAI62779 DAI83733	586	0.018841837883
ELE17451 GRO73461	580	0.0186489180412
GRO73461 SNA80324	562	0.0180701585158
DAI62779 GRO59710	561	0.0180380052088
DAI62779 FRO80039	550	0.0176843188322
DAI75645 ELE17451	547	0.0175878589113
DAI62779 SNA93860	537	0.0172663258416
DAI55148 DAI62779	526	0.016912639465
DAI43223 GRO59710	512	0.0164624931674
ELE17451 ELE32164	511	0.0164303398605
DAI62779 SNA18336	506	0.0162695733256
ELE32164 GRO73461	486	0.0156265071863
DAI62779 FRO78087	482	0.0154978939584
DAI85309 ELE17451	482	0.0154978939584
DAI62779 GRO94758	479	0.0154014340375
DAI62779 GRO21487	471	0.0151442075817
GRO85051 SNA80324	471	0.0151442075817
ELE17451 GRO30386	468	0.0150477476608
FRO85978 SNA95666	463	0.014886981126
DAI62779 FRO19221	462	0.014854827819
DAI62779 GRO46854	461	0.0148226745121
DAI43223 DAI62779	459	0.0147583678981
ELE92920 SNA18336	455	0.0146297546703
DAI88079 FRO40251	446	0.0143403749076
